"(Background Information, Full Name)","(Background Information, Position)","(Background Information, Squad)","(Background Information, Year of Birth)","(Playing Time, MP)","(Playing Time, Starts)","(Playing Time, Min)","(Playing Time, 90s)","(Performance, Gls)","(Performance, Ast)","(Performance, G+A)","(Performance, G-PK)","(Performance, PK)","(Performance, PKatt)","(Performance, CrdY)","(Performance, CrdR)","(Expected, xG)","(Expected, npxG)","(Expected, xAG)","(Expected, npxG+xAG)","(Progression, PrgC)","(Progression, PrgP)","(Progression, PrgR)","(Per 90 Minutes, Gls)","(Per 90 Minutes, Ast)","(Per 90 Minutes, G+A)","(Per 90 Minutes, G-PK)","(Per 90 Minutes, G+A-PK)","(Per 90 Minutes, xG)","(Per 90 Minutes, xAG)","(Per 90 Minutes, xG+xAG)","(Per 90 Minutes, npxG)","(Per 90 Minutes, npxG+xAG)"
Patrick van Aanholt,DF,PSV Eindhoven,1990.0,24.0,9.0,1114.0,12.4,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,2.1,2.1,2.3,4.5,40.0,65.0,98.0,0.08,0.08,0.16,0.08,0.16,0.17,0.19,0.36,0.17,0.36
Paxten Aaronson,MF,Vitesse,2003.0,14.0,14.0,1253.0,13.9,4.0,0.0,4.0,4.0,0.0,0.0,4.0,0.0,5.0,5.0,1.7,6.8,34.0,43.0,61.0,0.29,0.0,0.29,0.29,0.29,0.36,0.12,0.48,0.36,0.48
Jayden Addai,FW,AZ Alkmaar,2005.0,8.0,2.0,297.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.1,0.4,11.0,8.0,29.0,0.0,0.0,0.0,0.0,0.0,0.07,0.04,0.11,0.07,0.11
Bobby Adekanye,FW,Go Ahead Eag,1999.0,28.0,23.0,1804.0,20.0,0.0,5.0,5.0,0.0,0.0,0.0,4.0,1.0,2.6,2.6,5.7,8.3,67.0,51.0,114.0,0.0,0.25,0.25,0.0,0.25,0.13,0.29,0.41,0.13,0.41
Shawn Adewoye,DF,RKC Waalwijk,2000.0,29.0,26.0,2338.0,26.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.3,1.3,0.4,1.7,26.0,97.0,3.0,0.04,0.0,0.04,0.04,0.04,0.05,0.02,0.07,0.05,0.07
Nikolas Agrafiotis,FW,Excelsior,2000.0,18.0,10.0,758.0,8.4,5.0,2.0,7.0,5.0,0.0,0.0,0.0,0.0,4.0,4.0,1.3,5.3,7.0,12.0,44.0,0.59,0.24,0.83,0.59,0.83,0.47,0.16,0.62,0.47,0.62
Chuba Akpom,"FW,MF",Ajax,1995.0,25.0,8.0,1049.0,11.7,11.0,3.0,14.0,11.0,0.0,0.0,0.0,0.0,9.0,9.0,1.9,10.9,23.0,38.0,74.0,0.94,0.26,1.2,0.94,1.2,0.77,0.16,0.93,0.77,0.93
Hamdi Akujobi,"DF,FW",Almere City,2000.0,23.0,16.0,1557.0,17.3,0.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,1.4,2.5,29.0,50.0,64.0,0.0,0.12,0.12,0.0,0.12,0.06,0.08,0.14,0.06,0.14
Hussein Ali,"DF,FW",Heerenveen,2002.0,15.0,8.0,699.0,7.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.7,1.1,13.0,16.0,34.0,0.0,0.0,0.0,0.0,0.0,0.06,0.09,0.15,0.06,0.15
Jordi Altena,MF,Vitesse,2003.0,2.0,0.0,5.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
