Player Name,"(Background Information, Squad)","(Background Information, League)","(Background Information, Position)","(Background Information, Nation)","(Background Information, Age)","(Background Information, Year of Birth)","(Playing Time, MP)","(Playing Time, Starts)","(Playing Time, Min)","(Playing Time, 90s)","(Performance, Gls)","(Performance, Ast)","(Performance, G+A)","(Performance, G-PK)","(Performance, PK)","(Performance, PKatt)","(Performance, CrdY)","(Performance, CrdR)","(Expected, xG)","(Expected, npxG)","(Expected, xAG)","(Expected, npxG+xAG)","(Progression, PrgC)","(Progression, PrgP)","(Progression, PrgR)","(Per 90 Minutes, Gls)","(Per 90 Minutes, Ast)","(Per 90 Minutes, G+A)","(Per 90 Minutes, G-PK)","(Per 90 Minutes, G+A-PK)","(Per 90 Minutes, xG)","(Per 90 Minutes, xAG)","(Per 90 Minutes, xG+xAG)","(Per 90 Minutes, npxG)","(Per 90 Minutes, npxG+xAG)"
Francesco Acerbi (Reference),Inter,Serie A,DF,it ITA,35,1988.0,29.0,26.0,2388.0,26.5,3.0,1.0,4.0,3.0,0.0,0.0,1.0,0.0,1.6,1.6,1.8,3.4,21.0,87.0,24.0,0.11,0.04,0.15,0.11,0.15,0.06,0.07,0.13,0.06,0.13
Matteo Darmian,Inter,Serie A,DF,it ITA,33,1989.0,33.0,27.0,2404.0,26.7,2.0,1.0,3.0,2.0,0.0,0.0,2.0,0.0,1.2,1.2,1.8,3.0,18.0,72.0,82.0,0.07,0.04,0.11,0.07,0.11,0.04,0.07,0.11,0.04,0.11
Bart Vriends,Sparta R'dam,Eredivisie,DF,nl NED,32,1991.0,26.0,26.0,2205.0,24.5,2.0,1.0,3.0,2.0,0.0,0.0,3.0,0.0,1.9,1.9,0.8,2.7,11.0,112.0,4.0,0.08,0.04,0.12,0.08,0.12,0.08,0.03,0.11,0.08,0.11
Ethan Pinnock,Brentford,Premier League,DF,jm JAM,30,1993.0,29.0,28.0,2521.0,28.0,2.0,0.0,2.0,2.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,3.0,11.0,61.0,16.0,0.07,0.0,0.07,0.07,0.07,0.07,0.04,0.11,0.07,0.11
Chancel Mbemba,Marseille,Ligue 1,DF,cd COD,28,1994.0,25.0,25.0,2207.0,24.5,2.0,2.0,4.0,2.0,0.0,0.0,1.0,0.0,1.8,1.8,1.0,2.8,16.0,131.0,10.0,0.08,0.08,0.16,0.08,0.16,0.07,0.04,0.12,0.07,0.12
Thiago Silva,Chelsea,Premier League,DF,br BRA,38,1984.0,31.0,28.0,2527.0,28.1,3.0,1.0,4.0,3.0,0.0,0.0,4.0,0.0,0.8,0.8,1.0,1.8,2.0,102.0,5.0,0.11,0.04,0.14,0.11,0.14,0.03,0.04,0.06,0.03,0.06
Ellyes Skhiri,Eint Frankfurt,Bundesliga,MF,tn TUN,28,1995.0,27.0,24.0,2168.0,24.1,2.0,2.0,4.0,2.0,0.0,0.0,1.0,0.0,2.3,2.3,1.0,3.3,10.0,110.0,28.0,0.08,0.08,0.17,0.08,0.17,0.1,0.04,0.14,0.1,0.14
Daler Kuzyaev,Le Havre,Ligue 1,MF,ru RUS,30,1993.0,30.0,24.0,2090.0,23.2,2.0,2.0,4.0,2.0,0.0,0.0,1.0,0.0,1.8,1.8,1.3,3.2,23.0,119.0,97.0,0.09,0.09,0.17,0.09,0.17,0.08,0.06,0.14,0.08,0.14
David López,Girona,La Liga,DF,es ESP,33,1989.0,25.0,25.0,1965.0,21.8,3.0,0.0,3.0,3.0,0.0,0.0,4.0,0.0,2.1,1.9,0.2,2.1,15.0,54.0,1.0,0.14,0.0,0.14,0.14,0.14,0.1,0.01,0.11,0.09,0.1
Nathan Aké,Manchester City,Premier League,DF,nl NED,28,1995.0,29.0,24.0,2042.0,22.7,2.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,2.5,2.5,1.2,3.7,24.0,116.0,18.0,0.09,0.09,0.18,0.09,0.18,0.11,0.05,0.16,0.11,0.16
