Player Name,"(Background Information, Squad)","(Background Information, League)","(Background Information, Position)","(Background Information, Nation)","(Background Information, Age)","(Background Information, Year of Birth)","(Playing Time, MP)","(Playing Time, Starts)","(Playing Time, Min)","(Playing Time, 90s)","(Performance, Gls)","(Performance, Ast)","(Performance, G+A)","(Performance, G-PK)","(Performance, PK)","(Performance, PKatt)","(Performance, CrdY)","(Performance, CrdR)","(Expected, xG)","(Expected, npxG)","(Expected, xAG)","(Expected, npxG+xAG)","(Progression, PrgC)","(Progression, PrgP)","(Progression, PrgR)","(Per 90 Minutes, Gls)","(Per 90 Minutes, Ast)","(Per 90 Minutes, G+A)","(Per 90 Minutes, G-PK)","(Per 90 Minutes, G+A-PK)","(Per 90 Minutes, xG)","(Per 90 Minutes, xAG)","(Per 90 Minutes, xG+xAG)","(Per 90 Minutes, npxG)","(Per 90 Minutes, npxG+xAG)"
Luis Alberto (Reference),Lazio,Serie A,MF,es ESP,30,1992.0,33.0,29.0,2311.0,25.7,5.0,7.0,12.0,5.0,0.0,0.0,7.0,0.0,4.7,4.7,4.7,9.4,83.0,212.0,124.0,0.19,0.27,0.47,0.19,0.47,0.18,0.18,0.37,0.18,0.37
Leon Goretzka,Bayern Munich,Bundesliga,MF,de GER,28,1995.0,30.0,25.0,2241.0,24.9,6.0,7.0,13.0,6.0,0.0,0.0,3.0,0.0,5.0,5.0,5.3,10.2,66.0,176.0,71.0,0.24,0.28,0.52,0.24,0.52,0.2,0.21,0.41,0.2,0.41
Henrikh Mkhitaryan,Inter,Serie A,MF,am ARM,34,1989.0,36.0,35.0,2785.0,30.9,2.0,8.0,10.0,2.0,0.0,0.0,4.0,0.0,3.6,3.6,4.5,8.1,92.0,192.0,127.0,0.06,0.26,0.32,0.06,0.32,0.12,0.15,0.26,0.12,0.26
Brais Méndez,Real Sociedad,La Liga,"MF,FW",es ESP,26,1997.0,32.0,27.0,2413.0,26.8,5.0,6.0,11.0,5.0,0.0,0.0,7.0,0.0,4.2,4.2,4.2,8.4,45.0,128.0,121.0,0.19,0.22,0.41,0.19,0.41,0.16,0.16,0.31,0.16,0.31
James Maddison,Tottenham,Premier League,MF,eng ENG,26,1996.0,28.0,26.0,2135.0,23.7,4.0,9.0,13.0,4.0,0.0,0.0,5.0,0.0,6.4,6.4,5.9,12.4,58.0,224.0,156.0,0.17,0.38,0.55,0.17,0.55,0.27,0.25,0.52,0.27,0.52
Rodrigo De Paul,Atlético Madrid,La Liga,MF,ar ARG,29,1994.0,34.0,25.0,2075.0,23.1,3.0,5.0,8.0,3.0,0.0,0.0,7.0,0.0,1.8,1.8,5.0,6.8,73.0,202.0,55.0,0.13,0.22,0.35,0.13,0.35,0.08,0.22,0.3,0.08,0.3
Mitchell Weiser,Werder Bremen,Bundesliga,"DF,MF",de GER,29,1994.0,30.0,30.0,2636.0,29.3,3.0,7.0,10.0,3.0,0.0,0.0,5.0,0.0,3.8,3.8,4.2,7.9,81.0,111.0,189.0,0.1,0.24,0.34,0.1,0.34,0.13,0.14,0.27,0.13,0.27
Andreas Pereira,Fulham,Premier League,MF,br BRA,27,1996.0,37.0,34.0,2613.0,29.0,3.0,7.0,10.0,3.0,0.0,0.0,6.0,0.0,4.6,4.6,7.1,11.7,56.0,138.0,125.0,0.1,0.24,0.34,0.1,0.34,0.16,0.24,0.4,0.16,0.4
Romano Schmid,Werder Bremen,Bundesliga,"MF,FW",at AUT,23,2000.0,33.0,30.0,2601.0,28.9,4.0,6.0,10.0,4.0,0.0,0.0,5.0,0.0,5.2,5.2,6.3,11.5,75.0,144.0,165.0,0.14,0.21,0.35,0.14,0.35,0.18,0.22,0.4,0.18,0.4
Younes Namli,Zwolle,Eredivisie,"FW,MF",dk DEN,29,1994.0,30.0,30.0,2561.0,28.5,4.0,7.0,11.0,4.0,0.0,0.0,5.0,0.0,3.1,3.1,7.6,10.6,109.0,153.0,186.0,0.14,0.25,0.39,0.14,0.39,0.11,0.27,0.37,0.11,0.37
Ross Barkley,Luton Town,Premier League,MF,eng ENG,29,1993.0,32.0,30.0,2618.0,29.1,5.0,4.0,9.0,5.0,0.0,0.0,6.0,0.0,4.1,4.1,3.7,7.9,48.0,163.0,39.0,0.17,0.14,0.31,0.17,0.31,0.14,0.13,0.27,0.14,0.27
Antonio Candreva,Salernitana,Serie A,"MF,FW",it ITA,36,1987.0,34.0,32.0,2750.0,30.6,6.0,6.0,12.0,5.0,1.0,1.0,5.0,0.0,4.9,4.1,5.0,9.1,67.0,149.0,182.0,0.2,0.2,0.39,0.16,0.36,0.16,0.16,0.32,0.13,0.3
Bas Kuipers,Go Ahead Eag,Eredivisie,DF,nl NED,28,1994.0,33.0,33.0,2950.0,32.8,5.0,4.0,9.0,5.0,0.0,0.0,6.0,0.0,3.9,3.9,4.6,8.4,71.0,120.0,187.0,0.15,0.12,0.27,0.15,0.27,0.12,0.14,0.26,0.12,0.26
Marcos Llorente,Atlético Madrid,La Liga,"MF,DF",es ESP,28,1995.0,37.0,29.0,2565.0,28.5,6.0,4.0,10.0,6.0,0.0,0.0,5.0,0.0,4.1,4.1,5.6,9.7,71.0,106.0,179.0,0.21,0.14,0.35,0.21,0.35,0.14,0.2,0.34,0.14,0.34
Kenneth Taylor,Ajax,Eredivisie,"MF,DF",nl NED,21,2002.0,34.0,31.0,2758.0,30.6,5.0,5.0,10.0,5.0,0.0,0.0,3.0,0.0,5.4,5.4,4.9,10.3,78.0,185.0,157.0,0.16,0.16,0.33,0.16,0.33,0.18,0.16,0.33,0.18,0.33
Bruno Guimarães,Newcastle Utd,Premier League,MF,br BRA,25,1997.0,37.0,37.0,3263.0,36.3,7.0,8.0,15.0,7.0,0.0,0.0,9.0,0.0,4.8,4.8,6.4,11.2,65.0,283.0,73.0,0.19,0.22,0.41,0.19,0.41,0.13,0.18,0.31,0.13,0.31
Adrien Rabiot,Juventus,Serie A,MF,fr FRA,28,1995.0,31.0,30.0,2651.0,29.5,5.0,3.0,8.0,5.0,0.0,0.0,8.0,0.0,3.5,3.4,4.1,7.4,72.0,120.0,106.0,0.17,0.1,0.27,0.17,0.27,0.12,0.14,0.26,0.11,0.25
Achraf Hakimi,Paris S-G,Ligue 1,DF,ma MAR,24,1998.0,25.0,20.0,1932.0,21.5,4.0,5.0,9.0,4.0,0.0,0.0,3.0,0.0,4.2,4.2,5.2,9.4,84.0,218.0,230.0,0.19,0.23,0.42,0.19,0.42,0.2,0.24,0.44,0.2,0.44
Declan Rice,Arsenal,Premier League,MF,eng ENG,24,1999.0,38.0,37.0,3225.0,35.8,7.0,8.0,15.0,7.0,0.0,0.0,5.0,0.0,3.3,3.3,5.3,8.6,75.0,278.0,64.0,0.2,0.22,0.42,0.2,0.42,0.09,0.15,0.24,0.09,0.24
Federico Valverde,Real Madrid,La Liga,MF,uy URU,25,1998.0,37.0,33.0,2904.0,32.3,2.0,7.0,9.0,2.0,0.0,0.0,2.0,0.0,3.5,3.5,5.8,9.3,104.0,231.0,102.0,0.06,0.22,0.28,0.06,0.28,0.11,0.18,0.29,0.11,0.29
Iván Martín,Girona,La Liga,MF,es ESP,24,1999.0,36.0,33.0,2729.0,30.3,5.0,4.0,9.0,5.0,0.0,0.0,5.0,0.0,2.9,2.9,3.4,6.3,84.0,143.0,109.0,0.16,0.13,0.3,0.16,0.3,0.09,0.11,0.21,0.09,0.21
