Player Name,"(Background Information, Squad)","(Background Information, League)","(Background Information, Position)","(Background Information, Nation)","(Background Information, Age)","(Background Information, Year of Birth)","(Playing Time, MP)","(Playing Time, Starts)","(Playing Time, Min)","(Playing Time, 90s)","(Performance, Gls)","(Performance, Ast)","(Performance, G+A)","(Performance, G-PK)","(Performance, PK)","(Performance, PKatt)","(Performance, CrdY)","(Performance, CrdR)","(Expected, xG)","(Expected, npxG)","(Expected, xAG)","(Expected, npxG+xAG)","(Progression, PrgC)","(Progression, PrgP)","(Progression, PrgR)","(Per 90 Minutes, Gls)","(Per 90 Minutes, Ast)","(Per 90 Minutes, G+A)","(Per 90 Minutes, G-PK)","(Per 90 Minutes, G+A-PK)","(Per 90 Minutes, xG)","(Per 90 Minutes, xAG)","(Per 90 Minutes, xG+xAG)","(Per 90 Minutes, npxG)","(Per 90 Minutes, npxG+xAG)"
Mike Maignan (Reference),Milan,Serie A,GK,fr FRA,28,1995,29.0,29.0,2609.0,29.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03,0.0,0.01,0.01,0.0,0.01
Etienne Vaessen,RKC Waalwijk,Eredivisie,GK,sr SUR,28,1995,30.0,30.0,2644.0,29.4,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marco Bizot,Brest,Ligue 1,GK,nl NED,32,1991,32.0,32.0,2876.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.1,0.1,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gianluigi Donnarumma,Paris S-G,Ligue 1,GK,it ITA,24,1999,25.0,25.0,2169.0,24.1,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Álvaro Vallés,Las Palmas,La Liga,GK,es ESP,26,1997,37.0,37.0,3263.0,36.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Álex Remiro,Real Sociedad,La Liga,GK,es ESP,28,1995,37.0,37.0,3275.0,36.4,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Josep Martinez,Genoa,Serie A,GK,es ESP,25,1998,36.0,36.0,3239.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Giorgi Mamardashvili,Valencia,La Liga,GK,ge GEO,22,2000,37.0,37.0,3284.0,36.5,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01
Alexander Nübel,Stuttgart,Bundesliga,GK,de GER,26,1996,30.0,30.0,2700.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vasilios Barkas,Utrecht,Eredivisie,GK,gr GRE,29,1994,29.0,29.0,2610.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.4,0.4,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01
Ivan Provedel,Lazio,Serie A,GK,it ITA,29,1994,30.0,30.0,2699.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Michael Zetterer,Werder Bremen,Bundesliga,GK,de GER,28,1995,27.0,27.0,2430.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.2,0.3,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01
Alphonse Areola,West Ham,Premier League,GK,fr FRA,30,1993,31.0,31.0,2699.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nordin Bakker,Almere City,Eredivisie,GK,nl NED,25,1997,29.0,29.0,2596.0,28.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gregor Kobel,Dortmund,Bundesliga,GK,ch SUI,25,1997,27.0,27.0,2365.0,26.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alex Meret,Napoli,Serie A,GK,it ITA,26,1997,31.0,31.0,2773.0,30.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
David Raya,Arsenal,Premier League,GK,es ESP,27,1995,32.0,32.0,2880.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Benjamin Lecomte,Montpellier,Ligue 1,GK,fr FRA,32,1991,30.0,30.0,2700.0,30.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.03,0.0,0.02,0.02,0.0,0.02
Moritz Nicolas,Gladbach,Bundesliga,GK,de GER,25,1997,27.0,27.0,2430.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alisson,Liverpool,Premier League,GK,br BRA,30,1992,28.0,28.0,2520.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
