Player Name,"(Background Information, Squad)","(Background Information, League)","(Background Information, Position)","(Background Information, Nation)","(Background Information, Age)","(Background Information, Year of Birth)","(Playing Time, MP)","(Playing Time, Starts)","(Playing Time, Min)","(Playing Time, 90s)","(Performance, Gls)","(Performance, Ast)","(Performance, G+A)","(Performance, G-PK)","(Performance, PK)","(Performance, PKatt)","(Performance, CrdY)","(Performance, CrdR)","(Expected, xG)","(Expected, npxG)","(Expected, xAG)","(Expected, npxG+xAG)","(Progression, PrgC)","(Progression, PrgP)","(Progression, PrgR)","(Per 90 Minutes, Gls)","(Per 90 Minutes, Ast)","(Per 90 Minutes, G+A)","(Per 90 Minutes, G-PK)","(Per 90 Minutes, G+A-PK)","(Per 90 Minutes, xG)","(Per 90 Minutes, xAG)","(Per 90 Minutes, xG+xAG)","(Per 90 Minutes, npxG)","(Per 90 Minutes, npxG+xAG)"
Olivier Giroud (Reference),Milan,Serie A,FW,fr FRA,36,1986,35,28,2363,26.3,15,8,23,11.0,4.0,5.0,1.0,1.0,14.2,10.2,4.7,14.9,9.0,28.0,95.0,0.57,0.3,0.88,0.42,0.72,0.54,0.18,0.72,0.39,0.57
Niclas Füllkrug,Werder Bremen,Bundesliga,FW,de GER,30,1993,2,2,180,2.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.3,0.7,2.0,9.0,12.0,0.0,0.0,0.0,0.0,0.0,0.23,0.13,0.36,0.23,0.36
Antoine Griezmann,Atlético Madrid,La Liga,"FW,MF",fr FRA,32,1991,33,31,2644,29.4,16,6,22,12.0,4.0,4.0,5.0,0.0,12.3,9.3,5.6,14.9,43.0,118.0,196.0,0.54,0.2,0.75,0.41,0.61,0.42,0.19,0.61,0.32,0.51
Victor Osimhen,Napoli,Serie A,FW,ng NGA,24,1998,25,22,1982,22.0,15,3,18,12.0,3.0,5.0,6.0,1.0,15.4,11.4,3.1,14.6,34.0,23.0,142.0,0.68,0.14,0.82,0.54,0.68,0.7,0.14,0.84,0.52,0.66
Tobias Lauritsen,Sparta R'dam,Eredivisie,FW,no NOR,25,1997,31,29,2485,27.6,12,9,21,9.0,3.0,3.0,2.0,0.0,12.9,10.6,3.8,14.3,14.0,75.0,147.0,0.43,0.33,0.76,0.33,0.65,0.47,0.14,0.6,0.38,0.52
Robert Lewandowski,Barcelona,La Liga,FW,pl POL,34,1988,35,32,2750,30.6,19,8,27,15.0,4.0,4.0,5.0,0.0,18.1,15.0,4.9,19.9,43.0,64.0,168.0,0.62,0.26,0.88,0.49,0.75,0.59,0.16,0.75,0.49,0.65
Ermedin Demirović,Augsburg,Bundesliga,"FW,MF",ba BIH,25,1998,33,33,2873,31.9,15,9,24,12.0,3.0,4.0,7.0,0.0,13.5,10.3,3.9,14.2,28.0,60.0,167.0,0.47,0.28,0.75,0.38,0.66,0.42,0.12,0.54,0.32,0.45
Andrej Kramarić,Hoffenheim,Bundesliga,"MF,FW",hr CRO,32,1991,30,25,2199,24.4,15,6,21,10.0,5.0,5.0,4.0,0.0,11.1,7.1,7.3,14.5,71.0,119.0,175.0,0.61,0.25,0.86,0.41,0.65,0.45,0.3,0.75,0.29,0.59
Ante Budimir,Osasuna,La Liga,FW,hr CRO,32,1991,33,29,2435,27.1,17,2,19,14.0,3.0,4.0,4.0,0.0,14.2,11.1,1.8,12.9,21.0,42.0,99.0,0.63,0.07,0.7,0.52,0.59,0.53,0.07,0.59,0.41,0.48
Victor Boniface,Leverkusen,Bundesliga,FW,ng NGA,22,2000,23,18,1546,17.2,14,8,22,10.0,4.0,4.0,2.0,0.0,15.4,12.3,3.7,16.0,50.0,34.0,158.0,0.82,0.47,1.28,0.58,1.05,0.9,0.22,1.12,0.71,0.93
