Player Name,"(Background Information, Squad)","(Background Information, League)","(Background Information, Position)","(Background Information, Nation)","(Background Information, Age)","(Background Information, Year of Birth)","(Playing Time, MP)","(Playing Time, Starts)","(Playing Time, Min)","(Playing Time, 90s)","(Performance, Gls)","(Performance, Ast)","(Performance, G+A)","(Performance, G-PK)","(Performance, PK)","(Performance, PKatt)","(Performance, CrdY)","(Performance, CrdR)","(Expected, xG)","(Expected, npxG)","(Expected, xAG)","(Expected, npxG+xAG)","(Progression, PrgC)","(Progression, PrgP)","(Progression, PrgR)","(Per 90 Minutes, Gls)","(Per 90 Minutes, Ast)","(Per 90 Minutes, G+A)","(Per 90 Minutes, G-PK)","(Per 90 Minutes, G+A-PK)","(Per 90 Minutes, xG)","(Per 90 Minutes, xAG)","(Per 90 Minutes, xG+xAG)","(Per 90 Minutes, npxG)","(Per 90 Minutes, npxG+xAG)"
Samuel Chukwueze (Reference),Milan,Serie A,FW,ng NGA,24,1999,24,12,1017,11.3,1,3,4,1,0,0,1,0,1.7,1.7,2.3,3.9,52,51,135,0.09,0.27,0.35,0.09,0.35,0.15,0.2,0.35,0.15,0.35
Riccardo Sottil,Fiorentina,Serie A,FW,it ITA,24,1999,22,13,1103,12.3,2,3,5,2,0,0,1,0,2.6,2.6,2.5,5.1,66,33,139,0.16,0.24,0.41,0.16,0.41,0.21,0.2,0.41,0.21,0.41
Alex Sola,Alavés,La Liga,"FW,MF",es ESP,24,1999,29,14,1262,14.0,0,3,3,0,0,0,2,0,1.6,1.6,2.3,3.9,40,42,103,0.0,0.21,0.21,0.0,0.21,0.12,0.16,0.28,0.12,0.28
Reda Khadra,Reims,Ligue 1,"FW,MF",de GER,22,2001,29,14,1368,15.2,1,3,4,1,0,0,1,0,1.8,1.8,3.5,5.4,35,40,110,0.07,0.2,0.26,0.07,0.26,0.12,0.23,0.35,0.12,0.35
Ismail Jakobs,Monaco,Ligue 1,DF,sn SEN,23,1999,22,16,1466,16.3,1,2,3,1,0,0,0,0,1.3,1.3,1.8,3.1,44,56,133,0.06,0.12,0.18,0.06,0.18,0.08,0.11,0.19,0.08,0.19
Darius Johnson,Volendam,Eredivisie,"FW,MF",gd GRN,23,2000,25,14,1197,13.3,1,2,3,1,0,0,2,0,1.4,1.4,1.9,3.3,35,18,97,0.08,0.15,0.23,0.08,0.23,0.11,0.15,0.25,0.11,0.25
Jadon Sancho,Manchester Utd,Premier League,"FW,MF",eng ENG,23,2000,3,0,79,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,10,4,5,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.0,0.06
Nedim Bajrami,Sassuolo,Serie A,"MF,FW",al ALB,24,1999,28,15,1310,14.6,2,2,4,2,0,0,0,0,2.5,2.5,2.2,4.7,51,49,70,0.14,0.14,0.27,0.14,0.27,0.17,0.15,0.33,0.17,0.33
Sergi Canós,Valencia,La Liga,"MF,FW",es ESP,26,1997,27,15,1229,13.7,1,2,3,1,0,0,1,0,2.8,2.8,2.4,5.3,32,52,88,0.07,0.15,0.22,0.07,0.22,0.21,0.18,0.39,0.21,0.39
Jamie Bynoe-Gittens,Dortmund,Bundesliga,"FW,MF",eng ENG,18,2004,25,14,1058,11.8,1,4,5,1,0,0,1,0,2.2,2.2,2.8,5.0,64,26,105,0.09,0.34,0.43,0.09,0.43,0.19,0.24,0.43,0.19,0.43
Carlos Forbs,Ajax,Eredivisie,FW,pt POR,19,2004,21,8,829,9.2,2,3,5,2,0,0,0,0,2.1,2.1,2.1,4.3,50,33,120,0.22,0.33,0.54,0.22,0.54,0.23,0.23,0.46,0.23,0.46
Myron van Brederode,AZ Alkmaar,Eredivisie,FW,nl NED,20,2003,29,13,1311,14.6,2,4,6,2,0,0,1,0,1.7,1.7,3.2,4.9,64,82,146,0.14,0.27,0.41,0.14,0.41,0.11,0.22,0.34,0.11,0.34
