Player Name,"(Background Information, Squad)","(Background Information, League)","(Background Information, Position)","(Background Information, Nation)","(Background Information, Age)","(Background Information, Year of Birth)","(Playing Time, MP)","(Playing Time, Starts)","(Playing Time, Min)","(Playing Time, 90s)","(Performance, Gls)","(Performance, Ast)","(Performance, G+A)","(Performance, G-PK)","(Performance, PK)","(Performance, PKatt)","(Performance, CrdY)","(Performance, CrdR)","(Expected, xG)","(Expected, npxG)","(Expected, xAG)","(Expected, npxG+xAG)","(Progression, PrgC)","(Progression, PrgP)","(Progression, PrgR)","(Per 90 Minutes, Gls)","(Per 90 Minutes, Ast)","(Per 90 Minutes, G+A)","(Per 90 Minutes, G-PK)","(Per 90 Minutes, G+A-PK)","(Per 90 Minutes, xG)","(Per 90 Minutes, xAG)","(Per 90 Minutes, xG+xAG)","(Per 90 Minutes, npxG)","(Per 90 Minutes, npxG+xAG)"
Yacine Adli (Reference),Milan,Serie A,MF,fr FRA,23,2000.0,24.0,17.0,1407.0,15.6,1.0,2.0,3.0,1.0,0.0,0.0,3.0,0.0,0.3,0.3,2.2,2.5,30.0,125.0,26.0,0.06,0.13,0.19,0.06,0.19,0.02,0.14,0.16,0.02,0.16
Fabiano Parisi,Fiorentina,Serie A,DF,it ITA,22,2000.0,21.0,16.0,1454.0,16.2,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.9,0.9,2.4,3.3,50.0,78.0,64.0,0.0,0.06,0.06,0.0,0.06,0.06,0.15,0.2,0.06,0.2
Mërgim Vojvoda,Torino,Serie A,DF,xk KVX,28,1995.0,28.0,15.0,1379.0,15.3,0.0,3.0,3.0,0.0,0.0,0.0,3.0,0.0,0.4,0.4,1.4,1.8,30.0,91.0,72.0,0.0,0.2,0.2,0.0,0.2,0.02,0.09,0.12,0.02,0.12
Mathías Olivera,Napoli,Serie A,DF,uy URU,25,1997.0,23.0,18.0,1569.0,17.4,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,0.5,0.5,0.9,1.4,31.0,89.0,93.0,0.06,0.06,0.11,0.06,0.11,0.03,0.05,0.08,0.03,0.08
Benjamin Pavard,Inter,Serie A,DF,fr FRA,27,1996.0,23.0,21.0,1672.0,18.6,0.0,2.0,2.0,0.0,0.0,0.0,6.0,0.0,0.7,0.7,1.4,2.1,25.0,89.0,47.0,0.0,0.11,0.11,0.0,0.11,0.04,0.07,0.11,0.04,0.11
Răzvan Marin,Empoli,Serie A,MF,ro ROU,27,1996.0,30.0,20.0,1818.0,20.2,0.0,3.0,3.0,0.0,0.0,0.0,3.0,0.0,1.1,1.1,3.0,4.1,21.0,72.0,24.0,0.0,0.15,0.15,0.0,0.15,0.05,0.15,0.2,0.05,0.2
Jackson Tchatchoua,Hellas Verona,Serie A,DF,cm CMR,21,2001.0,26.0,19.0,1725.0,19.2,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.3,1.3,34.0,53.0,66.0,0.0,0.1,0.1,0.0,0.1,0.0,0.07,0.07,0.0,0.07
Daichi Kamada,Lazio,Serie A,MF,jp JPN,26,1996.0,29.0,17.0,1544.0,17.2,2.0,2.0,4.0,2.0,0.0,0.0,3.0,0.0,1.8,1.8,2.8,4.6,40.0,96.0,78.0,0.12,0.12,0.23,0.12,0.23,0.11,0.16,0.27,0.11,0.27
Edoardo Bove,Roma,Serie A,MF,it ITA,21,2002.0,31.0,18.0,1780.0,19.8,0.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.7,2.7,21.0,88.0,47.0,0.0,0.1,0.1,0.0,0.1,0.1,0.04,0.14,0.1,0.14
Pol Lirola,Frosinone,Serie A,DF,es ESP,25,1997.0,25.0,18.0,1536.0,17.1,2.0,1.0,3.0,2.0,0.0,0.0,1.0,0.0,1.3,1.3,1.1,2.4,30.0,65.0,59.0,0.12,0.06,0.18,0.12,0.18,0.08,0.06,0.14,0.08,0.14
Liberato Cacace,Empoli,Serie A,DF,nz NZL,22,2000.0,31.0,18.0,1912.0,21.2,0.0,1.0,1.0,0.0,0.0,0.0,6.0,0.0,0.4,0.4,1.7,2.1,34.0,84.0,55.0,0.0,0.05,0.05,0.0,0.05,0.02,0.08,0.1,0.02,0.1
